location,city,country,parameter,value,latitude,longitude,num_records
London Bloomsbury,London,GB,o3,11152.0,51.522290000000005,-0.125889,427.0
London Hillingdon,London,GB,no2,22110.0,51.49633,-0.46086099999999997,456.0
London Bloomsbury,London,GB,pm25,3183.0,51.522290000000005,-0.125889,433.0
London Harlington,London,GB,no2,5872.0,51.48879,-0.441614,337.0
London Teddington Bushy Park,London,GB,pm25,4109.0,51.425286,-0.34560599999999997,436.0
Haringey Roadside,London,GB,pm25,5409.0,51.5993,-0.068218,435.0
London Eltham,London,GB,no2,6210.0,51.45258,0.070766,422.0
London N. Kensington,London,GB,o3,16586.0,51.52105,-0.21349200000000002,427.0
Haringey Roadside,London,GB,no2,17047.0,51.5993,-0.068218,435.0
London N. Kensington,London,GB,pm10,7073.0,51.52105,-0.21349200000000002,435.0
Southwark A2 Old Kent Road,London,GB,no2,19758.0,51.480499,-0.05955,440.0
London Marylebone Road,London,GB,no2,31374.0,51.522529999999996,-0.154611,436.0
London N. Kensington,London,GB,pm25,3949.0,51.52105,-0.21349200000000002,435.0
Camden Kerbside,London,GB,pm25,5049.0,51.54421,-0.175269,435.0
London Eltham,London,GB,pm25,2538.0,51.45258,0.070766,252.0
Southwark A2 Old Kent Road,London,GB,pm10,8464.0,51.480499,-0.05955,428.0
London Teddington,London,GB,no2,6974.0,51.42099,-0.339647,439.0
Ealing Horn Lane,London,GB,pm10,11729.0,51.51895,-0.265617,456.0
London Haringey Priory Park South,London,GB,o3,17762.0,51.584128,-0.125254,424.0
Camden Kerbside,London,GB,pm10,7233.0,51.54421,-0.175269,435.0
London Eltham,London,GB,o3,15714.0,51.45258,0.070766,426.0
London Marylebone Road,London,GB,o3,7587.0,51.522529999999996,-0.154611,436.0
Camden Kerbside,London,GB,no2,23011.0,51.54421,-0.175269,432.0
London Haringey Priory Park South,London,GB,no2,9785.0,51.584128,-0.125254,451.0
London N. Kensington,London,GB,no2,9963.0,51.52105,-0.21349200000000002,435.0
London Teddington,London,GB,o3,19223.0,51.42099,-0.339647,448.0
London Bexley,London,GB,pm25,5321.0,51.466029999999996,0.184806,420.0
London Marylebone Road,London,GB,pm10,8041.0,51.522529999999996,-0.154611,428.0
London Marylebone Road,London,GB,pm25,6298.0,51.522529999999996,-0.154611,428.0
Tower Hamlets Roadside,London,GB,no2,8316.0,51.522529999999996,-0.042155,216.0
London Bexley,London,GB,no2,5672.0,51.466029999999996,0.184806,239.0
London Harlington,London,GB,pm25,199.0,51.48879,-0.441614,12.0
London Harrow Stanmore,London,GB,pm25,1936.0,51.617333,-0.298777,328.0
Nisekh,Ulaanbaatar,MN,pm10,4413.0,47.863943,106.779094,62.0
Tolgoit,Ulaanbaatar,MN,no2,1152.0,47.922495,106.79480500000001,95.0
Nisekh,Ulaanbaatar,MN,so2,226.0,47.863943,106.779094,62.0
MNB,Ulaanbaatar,MN,pm25,2253.0,47.929732,106.88862900000001,96.0
Tolgoit,Ulaanbaatar,MN,so2,967.0,47.922495,106.79480500000001,95.0
Nisekh,Ulaanbaatar,MN,pm25,1756.0,47.863943,106.779094,62.0
MNB,Ulaanbaatar,MN,pm10,9282.0,47.929732,106.88862900000001,96.0
